codigo_actual,codigo_nuevo_propuesto,tipo_propuesto,familia_codigo_propuesta,familia_nombre_propuesta,subfamilia_propuesta,familia_actual,descripcion,unidad_medida,merma,precio_unidad,proveedor_precio,formato_compra,cantidad_formato_compra,unidad_formato_compra,precio_formato_compra,fecha_precio,url_precio,observaciones_precio,estado_revision,motivo_revision
ING-0586,ING-FRU-0066,ING,FRU,Frutas,Frutas,PASTELERIA,FRAMBUESA BRISURA congelada,kg,0.00,,,,,,,,,,propuesto,familia o palabras clave fruta
ING-0587,ING-FRU-0067,ING,FRU,Frutas,Frutas,PASTELERIA,FRESA LIOFILIZADA 50G,kg,0.00,6.3500,,,,,,,,,propuesto,familia o palabras clave fruta
ING-0588,ING-FRU-0068,ING,FRU,Frutas,Frutas,PASTELERIA,FRESÓN CONGELADO 1K,kg,0.00,8.1800,,,,,,,,,propuesto,familia o palabras clave fruta
ING-0589,ING-FRU-0069,ING,FRU,Frutas,Frutas,PASTELERIA,FRUTAS BOSQUE COCTEL CONGELADO 1K,kg,0.00,7.7500,MAKRO,La Cuerva frutas del bosque 1 kg,1.0000,kg,7.7500,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X953696/0032/0021/La-Cuerva-frutas-del-bosque-1kg,Precio con IVA/IGIC incluido. €/kg.,propuesto,familia o palabras clave fruta
ING-0590,ING-BEB-0021,ING,BEB,Bebidas y líquidos,Bebidas y líquidos,PASTELERIA,GASIFICANTE REPOST.IMPULSOR,kg,0.00,7.7778,CONSUM,CONSUM impulsor repostería 6 sobres de 15 g,0.0900,kg,0.7000,2026-06-13,https://tienda.consum.es/es/c/despensa/desayuno-dulces-cafe/reposteria-para-preparar/levadura/5253,Precio con IVA. Convertido a €/kg.,propuesto,familia o palabras clave bebidas/líquidos
ING-0591,ING-PAS-0008,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,"GEL BRILLO CUBO 1,4K",kg,0.00,3.8700,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0592,ING-PAS-0009,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,GELATINA HOJAS 1K,kg,0.00,27.1692,MAKRO,ROYAL gelatina neutra en bote 650 g,0.6500,kg,17.6600,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X481952/0032/0021/Royal-gelatina-neutra-botella-650g,Equivalente a gelatina en hojas para escandallo; no formato hojas 1 kg. Convertido a €/kg.,revisar,pastelería sin subclasificación clara
ING-0593,ING-END-0009,ING,END,Endulzantes y azúcares,Endulzantes,PASTELERIA,GLUCOSA 3K,kg,0.00,1.7800,,,,,,,,,propuesto,palabras clave endulzantes
ING-0594,ING-PAS-0010,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,GUINDAS ROJAS 160g,kg,0.00,1.3000,,,,,,,,,revisar,pastelería sin subclasificación clara
ING-0595,ING-CER-0009,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,HARINA CENTENO 5K,kg,0.00,0.9700,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0596,ING-CER-0010,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,HARINA DE CENTENO INTEGRAL 5K,kg,0.00,1.0000,,,,,,,,,propuesto,palabras clave cereales/harina/masa
ING-0597,ING-CER-0011,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,HARINA DE MEDIA FUERZA,kg,0.50,1.1128,MAKRO,METRO Chef harina 00 W260-290 saco 25 kg,25.0000,kg,27.8200,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X221139/0032/0021/METRO-Chef-harina-00-W260-290-saco-25-kg,Precio con IVA/IGIC incluido. Equivalente a harina de media fuerza. Convertido a €/kg.,propuesto,palabras clave cereales/harina/masa
ING-0598,ING-ESP-0019,ING,ESP,"Especias, sales y aromáticos",Especias y aromáticos,PASTELERIA,HARINA ESPECIAL 80W,kg,0.50,0.7200,CONSUM,CONSUM harina de trigo clásica 1 kg,1.0000,kg,0.7200,2026-06-13,https://tienda.consum.es/es/p/harina-de-trigo-clasica/7426091,"Producto equivalente aproximado a harina floja/común, no se especifica W80. Precio con IVA. €/kg.",propuesto,palabras clave especias/sal/aromáticos
ING-0599,ING-CER-0012,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",SIN CLASIFICAR,HARINA FLOJA K,kg,0.00,0.7200,CONSUM,CONSUM harina de trigo clásica 1 kg,1.0000,kg,0.7200,2026-06-13,https://tienda.consum.es/es/p/harina-de-trigo-clasica/7426091,"Producto equivalente en formato retail 1 kg, no saco 25 kg. Precio con IVA. €/kg.",propuesto,palabras clave cereales/harina/masa
ING-0600,ING-CER-0013,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,HARINA FUERZA 25 K,kg,0.50,1.1128,MAKRO,METRO Chef harina 00 W290-320 saco 25 kg,25.0000,kg,27.8200,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X221141/0032/0021/METRO-Chef-harina-00-W290-320-saco-25-kg,Precio con IVA/IGIC incluido. Equivalente harina de fuerza. Convertido a €/kg.,propuesto,palabras clave cereales/harina/masa
ING-0601,ING-CER-0014,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",PASTELERIA,HARINA INTEGRAL TRIGO 5K,kg,0.50,0.9000,CONSUM,CONSUM harina de trigo 100% integral 1 kg,1.0000,kg,0.9000,2026-06-13,https://tienda.consum.es/es/p/harina-de-trigo-100-integral/7426104,"Producto equivalente en formato retail 1 kg, no saco 5 kg. Precio con IVA. €/kg.",propuesto,palabras clave cereales/harina/masa
ING-0602,ING-FRU-0070,ING,FRU,Frutas,Frutas,PASTELERIA,HIGO SECO,kg,0.00,5.0000,,,,,,,,,propuesto,familia o palabras clave fruta
ING-0603,ING-PAS-0011,ING,PAS,Pastelería técnica,Pastelería técnica,PASTELERIA,HORCHATA CONCENTRADA,kg,0.00,,,,,,,,,,revisar,pastelería sin subclasificación clara
